index,park,city
24,머릿속으로는 이러면 안 된다고 생각하지만 나도 모르게 하는 것은 안 좋은 거야,Z빵 먹는 거 좋아해?|좋아|부드럽고 맛있어서 좋아. 종류도 정말 다양하니까 다 먹어보고 싶어| 싫어|밀가루 음식을 싫어하거나 입에 안 맞을 수 있지. 다른 것을 먹을 수 있으니까
25,아이들이 즐겁게 뛰노는 모습을 보면 나까지 기분이 즐거워지는 거 같아,Z커피를 좋아하는 편이니?|응 |커피의 향도 좋고 졸린 것도 사라지는 거 같아|아니|너무 많이 마시면 밤에 잘 수 없어 ..으
26,공연을 보러 가고 싶어. 한 번쯤은 신나게 놀아보고 싶거든,Z조금 멀리까지 나온 거 같은데 힘들지 않니?|조금|그래도 멀리 나오니까 그만큼 많이 걸어서 좋은 거 같아| 아니|그럼 다행이네 ..사실 나는 조금 힘들지만 아직 버틸만해
27,빗속에서 소리를 크게 지르면 빗소리에 묻히겠지,밖에서 번개가 치면 집에 있을 때보다 더 놀라는 거 같아
28,풀잎에 맺힌 이슬을 톡 치면 굴러가는 모습이 좋더라,다양한 스타일의 사람들이 보여
29,바닥에 휴지 뭉치가 많은 거 같아. 계속 치워도 끝이 없을 정도로,위에 전깃줄이 정말 많아. 집에서 볼 때랑 다르네
30,(하늘을 쳐다보고 있다.비가 내리고 있다),골목길은 조용하지만 좀 무서운 거 같아
31,떡볶이를 먹고 싶은 기분이야. 김밥과 함께 먹으면 더 좋지,많은 사람이 바쁘게 살아가고 있어. 자신의 역할을 맡으며
32,호기심이라는 것은 알 수 없어. 정말 알 수 없으니까,마음을 열게 되면 조금이라도 사람들이 다가올지 궁금해
33,내가 살아가는 앞날은 알 수 없으니까 두려우면서도 기대가 되는 거 같아,사람을 기다리기보다는 다가가는 게 어려운 법이야
34,손에 맞는 비가 시원해서 좋은데 달팽이도 이 기분을 느끼고 있을 거야,온 종일 돌아다니면 발이 아파
35,저번에 오렌지주스를 마셔봤는데 생각보다 상큼했어. 좀 더 단맛이 있을 줄 알았거든,도시에는 앉을 수 있는 곳이 별로 없는 거 같아
36,어릴 때 소풍을 가서 아이들의 도시락을 보는데 정성스럽게 만들어온 것을 보고 항상 부러웠어,지금 이 순간이 누군가에게는 귀중할 거야. 모든 사람이 말이지
37,점점 빗소리가 듣기 좋아지는 거 같아,사람들의 나쁜 습관을 바꾸어 놓을 수 있다면 얼마나 좋을까
38,"마음이 따뜻해지는 날이 왔으면 좋겠어. 걱정, 근심 이런 것들을 다 날려버리고",하늘이 무너지면 무슨 기분인지 알고 싶지 않아. 아무도 느끼지 않았으면 좋겠어
39,이렇게 밖으로 나와서 빗소리를 감상하는 것도 나쁘지 않아. 바깥 풍경도 보고 좋은 거지,항상 궁금한 게 길의 끝은 어떻게 생겼을지 궁금해
40,구름이 정말 어둡고 많이도 있구나,내가 길을 잃고 방황하게 된다면 ..나를 찾아줬으면 좋겠어
41,고양이가 정말 편하게 있네. 무슨 생각을 하고 있을지 궁금해,아직 아무런 계획이 없다면 지금이라도 세우는 것이 좋지. 늦지 않았어
42,조용히 머무르다가 어느 순간 조용히 사라지지,..비 오는 소리가 정말 좋네
43,은행에 가본 지 오래된 거 같아. 갈 일이 없으니까,바쁜 일상 속에서 우리는 얼마나 휴식을 할 수 있을까
44,아무리 바빠도 조금이라도 걷기 운동을 하는 게 좋을 거야. 몸의 건강을 위해,잠시 하는 일을 놓고 머리를 비우는 것도 좋지
45,소풍을 가면 김밥을 만들어 본 적이 없는 거 같아. 항상 사 갔지,모르면 알아가는 거야 천천히
46,어릴 때 비가 많이 오면 밖에 가서 뛰어놀았어. 그러다 감기에 걸린 적이 많았지만..,정작 눈앞에 있어도 스쳐 지나갈 때가 있지. 주의 깊게 봐야 알 수 있어
47,진흙이 질퍽해서 신발이 더러워지니까 이건 별로 좋지는 않네,말을 하지 않으면 알 수가 없어. 무슨 생각을 하는지 어떤지를
48,그네를 타면 점점 높이 올라가 하늘에 닿을 수 있다고 생각했어. 언젠가는..,집에 언제 돌아가도 상관없어. 가고 싶을 때 가는 거지
49,달팽이도 거북이처럼 집을 가지고 있어. 태어났을 때부터 말이야,옆에 가게가 있던데 다양한 물건을 팔고 있었어
50,초코칩 쿠키를 먹고 싶다. 우유와 함께 먹으면 더 맛있겠지,사고 싶은 것을 많지만 필요한 물건을 사는 것이 우선순위지
51,..추적추적 비가 내리네,다양한 음식이 있다는 것은 정말 좋은 일이야. 다양한 맛을 맛볼 수 있으니까 말이야
52,기분이 안 좋은데 하늘이 나를 대신해서 울어주는구나,돈을 아껴서 더 좋은 물건을 살 수 있어
53,아무도 내 마음을 몰라주는데 알아주는 것은 하늘뿐이구나,바닥에 자는 것도 좋지만.. 푹신한 침대가 더 좋아
54,어릴 때 놀이터 담벼락에 올라가다가 떨어진 적이 있었어. 정말 위험했지,봄이 가면 여름이 오고 여름이 가면 가을이 오고 가을이 가면 겨울이 오고 겨울이 가면 다시 봄이 와
55,구름 사이로 햇살이 비추면 얼마나 아름다운지 몰라 ..어서 보고 싶어,비 오는 날에는 장화가 최고인 거 같아
56,고개를 숙인다고 달라지는 것은 없어. 아무것도,비가 오니까 길이 미끄러운 거 같아. 조심해야겠어
57,나에게 어떤 면이 있는지 알 수가 없어. 언젠가 알게 되는 날이 오겠지,밖으로 나오면 다양한 소리가 들려와
58,쏟아지는 비를 보고 나면 속이 시원해. 끝도 없이 내리며 하염없이 흘러가겠지,울고 싶을 때는 비가 대신 울어주면 좋지. 고마운 존재인 거 같아
59,흘린 눈물을 들키고 싶지 않으면 비를 맞는다하더라 ...그래,많은 사람이 웃지만 정말 웃고 싶어서 웃는 사람이 몇이나 될까
60,어릴 때 본 만화가 기억나네. 비가 오면 무지개 연못에 비가 온다는 노래가 기억나,노력해도 안 되는 것은 정말 슬픈 일이야
61,밝았던 삶이 그리워 대화가 하고 싶었지. 하지만 용기가 나지 않았어. 덕분에 말을 자주하게 되었지,축 처지는 날에는 아무것도 하고 싶지 않지. 하루 정도는 안 해도 큰일 나지 않으니까 걱정하지 마
62,꿈속에서 끝이 없는 길을 계속해서 걸어가 ...마지막은 끝이 없다는 거야,사람들의 우산 색이 다양하구나
63,나를 도와준다는 수많은 손길은 다 어디로 사라졌을까,외출할 때마다 기분이 좋아. 여러모로 좋아서
64,요즘 전에는 못 느꼈던 감정을 느끼고 있는 거 같아 ..감정이 살아나고 있는 것일까,가는 곳마다 북적거려. 다양한 사람들이 있지
65,어릴 때는 빗소리가 무서웠어. 비 오는 날이면 혼자 있을 때가 많았거든,어릴 때 신호등을 지나가면 손을 들고 갔지. 지금은 안 하지
66,가끔 외출하는 것도 좋지,내가 만들어 내는 인생은 하나뿐이야. 소중해
67,집에 들어가면 따뜻한 우유 한잔을 마시고 싶어,한번 거짓말을 하면 다시 안 한다는 보장은 없지
68,밖에서 듣는 빗소리는 안에서 듣는 것과 다르구나,걱정거리 없는 세상이 왔으면 좋겠어. 걱정은 머리를 아프게 하거든
69,김치부침개가 먹고 싶다. 파전도 먹고 싶고..,차분하게 빗소리를 들으면 마음이 진정되는 거 같아
70,사실 수줍음이 많은 편이라서 너와 대화를 한다는 것이 좀 그랬어,가끔 이렇게 산책을 하는 것도 좋지
71,지금은 비가 내리지만 언젠가 그쳐서 그리운 날이 올거야 ..왔으면 좋겠어,카페에서 은은하게 커피 향이 나는 거 같아
72,예전에 우리가 처음 만났을 때 의사소통이 안 되었던 게 떠올라. 답답했을 거야,저번에 누군가가 나에게 길을 물어봤어. 나도 아는 것이 없어서 대답을 잘 못 했지만..
73,바다에 가본 지 오래된 거 같아. 비 올 때 바다는 어떤 풍경일까,매일 빗소리를 들으면서 살아가. 지치고 힘들어도 열심히 살아가
74,어릴 때 해수욕장에 가서 튜브를 타고 물놀이를 한 것이 기억이나. 파도는 무서웠지만,장마철에는 새 운동화를 신고 싶지 않아. 흙탕물을 묻힐 순 없어
75,금붕어는 기억력이 안 좋다고 하는데 사람도 기억이 안 좋은 건 똑같은 거 같아,옷은 딱히 필요하지 않아. 지금이 좋거든
76,미끄럼틀을 타기에는 내가 너무 커진 것 같아. 딱 봐도 작아 보여,사람들이 많아서 복잡한 거 같아
77,상대방에게 인사를 한다는 것은 좋은 거야. 인사성은 사람의 인상을 비춰주니까,도시의 화려함에 가려진 존재들은 정말 많아. 셀 수 없을 정도로
78,이런 일 저런 일 겪고 있어도 힘차게 살아야지 ..솔직히 힘들지만,밝은 면이 있으면 어두운 면도 함께 존재해
79,길가면서 인형 뽑기를 봤는데 안에 있던 하얀 인형이 귀여웠어,저번에 길을 가다가 지폐를 발견했어
80,비가 오기 전에는 공기가 안 좋았는데 오니까 상쾌한 거 같아,비가 계속 내리는 것처럼 시간도 계속 흘러가
81,밤하늘에 별은 못 본 지 오래된 거 같아. 어린 시절 하늘이 정말 맑았을 때 시골에서 은하수를 본 적이 있어,도시는 밤이 되어도 낮이 되어도 사람이 많은 거 같아
82,있을 수 없는 추억이 있는가 하면 잊지 못할 과거를 가지고 있지,저번에 산책하면서 강아지를 봤는데 정말 귀여웠어
83,누구에게나 잊고 싶은 과거가 있어. 그럴 수 있다면 진작에 잊었을 거야...,저번에 아이들이 뛰어다녔는데 빗길에 미끄러지지 않을까 걱정이야
84,수목원에 가고 싶다. 비 오고 난 후면 공기가 정말 맑을 거야,하늘은 넓으면서도 좁은 거 같아. 생각하기 나름이지
85,우산 색깔이 여러 가지 있는 거 같아. 디자인도 모양도 다 달라,골목길에서 고양이를 본 적이 있었어. 비를 피하고 있었지
86,밤하늘에 불꽃놀이는 정말 아름다운 광경이야. 언젠가 보고 싶어,배고프면 옆에서 사 먹을 수 있어
87,달팽이가 기어가는데 정말 열심히 움직이는 거 같았어. 열심히 살아가는 건 좋은 거야,열심히 걸어 다녀서 체력을 키워야겠어
88,꽃가게를 지나가는데 꽃잎에 이슬 맺힌 모습이 아름다웠어. 또르르 굴러가는데 신기했지,가끔 이 모든 것이 꿈일까 하는 생각을 해
89,머리가 눅눅해진 거 같아. 집에 가서 말려야지,항상 이기는 게임만 있을 수는 없어. 지는 게임도 있어
90,밖에 오래 있으면 감기에 걸리니까 적당히 있어야겠지,(조용히 쏟아지는 비를 쳐다보고 있다)
91,아프면 약을 먹어야 하니까 싫어. 아프지 않았으면 좋겠어,요즘에는 정보가 빠르게 퍼지는 거 같아
92,주변에 사람이 많아도 외롭다고 생각 할 수 있어. 아무리 많아도 나를 알아주는 사람이 없다면,우울한 생각을 하면 멈출 수가 없어 ..끝없이 이어져가
93,(바람이 불자 우산이 흔들렸다),처음 보는 사람에게 밝게 인사를 하고 싶지만 ..어려운 일이야
94,살아가는데 기억에 의존하며 살아갈 때가 있지,옆에 사람이 지나갈 때 물이 튄 적이 있어. 웅덩이를 밟았나 봐
95,놀이터에서 놀다가 비가 오면 집에를 가야 했지. 안 그러면 비가 다 맞아서 감기에 걸리면 걱정하니까,저기 지나가는 사람은 전화를 계속하고 있어. 화를 내면서
96,무엇을 해야 할지 모를 때는 잠시 생각을 그만두고 눈을 감고 쉬는 게 좋아,가끔 밖에 나가면 기분전환도 되고 좋아
97,지금 아무 생각이 없어. 이런 느낌이 나쁘지는 않아. 항상 복잡한 생각으로 가득 찼거든,건물에는 얼마나 많은 사람이 있을까. 상상이 안 돼
98,배고픈데 먹을 것을 살려면 길 건너편으로 가야 해. 나중에 가지 뭐,잘못한 것을 사과해야 하는 것은 어려운 일이야. 평생 못하는 사람도 있으니까
99,좋은 것이 있으면 나쁜 것도 항상 따라다니지,지금 자유로울 때 마음껏 만끽하는 것이 좋아. 자유롭지 못하면 그리울 테니까
100,마음이 편안해지는 기분이야. 너도 그랬으면 좋겠어,시간이 흘러도 세상은 여전히 변함없을 거야 ..아마도
101,(조용히 눈을 감고 있다가 조심스레 떴다),비 오니까 탁했던 공기가 맑아진 거 같아
