index,대화0,대화1,대화2,대화3,대화4,대화5
11,..언제 갈래?,(콜록콜록),아플 때 곁에 아무도 없으면 괜히 서러워지더라. 이제는 익숙해졌지만,오늘 비가 그치고 햇빛이 나는 걸 봤어. 꿈이었지만,Z슬슬 머리를 다듬으러 갈 때 가 된 거 같은데 같이 갈래?|그래|그래 그럼 가서 내가 어울릴만한 머리 좀 같이 골라 줘| 아니|그래 그럼 나중에 같이 가자 아니면 혼자 가도 되고,오늘은 잠을 푹 잤어. 상쾌한 기분이야
12,...할 말이라도?,방안에 습기가 차서 매우 불쾌해,내일은 하루 종일 집에만 있을 거야.,저번에 신문을 보고 세상에 대해 궁금해지기 시작했어,Z사탕이랑 초콜릿 중에서 뭐가 좋아?|사탕|입에서 녹여 먹을 수도 있고 깨물어서 그 자리에 당장 먹어 버릴 수도 있고 다양하게 먹을 수 있어서 난 좋아| 초콜릿|지금 같은 날씨에 초콜릿을 녹여 먹으면 내 몸도 녹을 거 같아,Z슬슬 머리를 다듬으러 갈 때 가 된 거 같은데 같이 갈래?|그래|그래 그럼 가서 내가 어울릴만한 머리 좀 같이 골라 줘|아니|그래 그럼 나중에 같이 가자 아니면 혼자 가도 되고
13,...비 오네,뭔가를 먹고 싶은데 그거조차도 귀찮아,다리에 쥐가 났어,이제 비가 그치겠지. 아마도,물을 마시는 것도 좋지만 주스를 마시고 싶을 때도 있어. 맛있으니까,물을 마시는 것도 좋지만 주스를 마시고 싶을 때도 있어. 맛있으니까
14,..흐음..,장마가 끝나기는 할까..? 언젠가는,Z밖에 나가면 뭐가 있니?|아니|다들 나와 같은 사람들인가 흠..|희망|그런 것도 있어? 재밌는 농담이네,가끔 창문 밖은 여기랑 다른 세상인 거 같아,과자는 여러 종류지만 다 사 먹기에는 돈이 부족해. 그리고 많이 먹으면 건강에 좋지 않아,과자는 여러 종류지만 다 사 먹기에는 돈이 부족해. 그리고 많이 먹으면 건강에 좋지 않아
15,..머리가 무거워,움직이기 귀찮아,Z혹시 우산이 없는 거야?|없어|갈 때 내 우산을 가져가. 하나뿐이지만|있어|다행이네. 준비성이 좋구나,혹시 내 화장실 본 적 있어? 안 보는 것이 좋을 거야,비구름 사이로 언뜻 비추는 햇빛을 보았어,비구름 사이로 언뜻 비추는 햇빛을 보았어
16,(아무 생각이 없어 보인다),Z..뭘 보고 있어?|너|..왜 나를 보는지 이해가 안 가네| ... |..이상하구나 너,Z행복이 뭔지 아니|응|나중에 알려줘 무엇인지 궁금하거든|아니|언젠간 알고 싶어,팝콘은 카라멜이 최고인 거 같아,음.. 옷을 사러 한번 가볼까..,음.. 옷을 사러 한번 가볼까..
17,..저게 뭐지,Z나랑 대화하는 게 좋아?|응 |음.. 그렇구나 | 아니|근데 왜 대화를 하지? 이상한 사람이구나,Z과거의 실수를 지금이라도 바로 잡을 수 있으면 그렇게 할 거니?|할래|그렇게 하더라도 과연 만족할 수 있을까. 아니면 더 나빠질까.. 어려운 문제야|안 할래|이런선택 신중해야 하지. 제일 중요한 건 과거로 되돌아갈 수 없다는 거지,Z가족들 다 잘 계시니?|응 |건강하게 잘 있는 게 정말 좋은거야 |아니|...괜한이야기를 꺼낸 거 같구나 미안,이제 뭘 사 먹는 건 질렸어. 이제는 직접 만들어 먹어보고 싶어,이제 뭘 사 먹는 건 질렸어. 이제는 직접 만들어 먹어보고 싶어
18,..먼지다,Z(나를 쳐다보고 있다)|본다 |(눈이 마주쳤지만 바로 피해버렸다)|무시한다|(더 이상 시선이 느껴지지 않는다),Z방금 벌레가 내 위로 지나갔어 봤어?|봤어|그럼 좀 잡아주지 그랬어…|못 봤어|다음번에 보면 꼭 잡아줘,자고 일어나니 내 몸에 거미줄이 묻어 있었어 ...거미가 지나간 걸까,생각해보면 비가 계속 내리는 게 꼭 나쁜 것만은 아닌 거 같아,생각해보면 비가 계속 내리는 게 꼭 나쁜 것만은 아닌 거 같아
19,(콜록콜록),끈적거리는 거 딱 질색이야 ,아침에는 항상 일어나기가 힘들어,말을 할 때는 한번 생각하고 말을 하는 편이 좋아,솔직히 말하면 네가 오고 나서 기분이 많이 좋아졌어,솔직히 말하면 네가 오고 나서 기분이 많이 좋아졌어
20,..지루해,나도 바깥으로 나갈 거야 이 비가 그치면,등이 가려운데 손이 안 닿아,양말에 구멍이 났어. 하나 새로 사야겠어,아침이 오면 새들이 창문 밖에서 노래하다가 가,아침이 오면 새들이 창문 밖에서 노래하다가 가
21,..귀찮아,우산들의 나라에는 비가 올까,나도 스마트폰이 있으면 좋겠어,Z밥은 보통 혼자 먹니?|응|맞아 나도 혼자 먹어|아니|누군가와 함께 먹는 건 좋은 거지,저번에 길 가다가 500원을 주웠어. 마침 옆에 자판기가 있어서 내 돈을 조금 보태서 사 먹었지. 뭐 나쁘지 않았어,저번에 길 가다가 500원을 주웠어. 마침 옆에 자판기가 있어서 내 돈을 조금 보태서 사 먹었지. 뭐 나쁘지 않았어
22,..심심해,있잖아...아무것도 아니야,이제 햇빛이 얼마나 밝았는지 기억이 안 나,커다란 솜사탕을 먹고 싶다,내일은 꼭 청소할 거야,내일은 꼭 청소할 거야
23,..음 아니야,초밥을 먹고 싶다 평생 못 먹겠지,날이 밝았을 때 내가 뭐 했는지 기억이 안 나,시원한 사이다를 마시고 싶다,동네에 24시간 세탁소가 생겨서 정말 편해졌어,동네에 24시간 세탁소가 생겨서 정말 편해졌어
24,..눅눅해,이제 햇빛이 얼마나 밝았는지 기억이 안 나,구름은 어디로 흘러가나,어디론가 여행을 떠나고 싶다,요즘 집에서 가볍게 스트레칭을 하고 있어. 몸이 가뿐해지는 기분이야,요즘 집에서 가볍게 스트레칭을 하고 있어. 몸이 가뿐해지는 기분이야
25,..퀘퀘한 냄새,날이 밝았을 때 내가 뭐 했는지 기억이 안 나,장마가 끝나기는 할까..? 언젠가는,등이 가려운데 손이 닿지 않아,요즘 운동을 하고 있어. 숨쉬기 운동,요즘 운동을 하고 있어. 숨쉬기 운동
26,..배고파,구름은 어디로 흘러가나,움직이기 귀찮아,우리 동네에도 맛집이 있었으면 좋겠어,벌레가 많은 건 그나마 여기가 살아갈 수 있는 장소라서 그런 걸지도,벌레가 많은 건 그나마 여기가 살아갈 수 있는 장소라서 그런 걸지도
27,..목말라,지금 몇 시지,끈적거리는 거 딱 질색이야 ,전에 인형을 하나 샀었는데 곰팡이가 잔뜩 피어서 버렸어,..흐음.. 큼..! 목이 간지럽네,..흐음.. 큼..! 목이 간지럽네
28,..추워,..흐음 뭐하지,나도 바깥으로 나갈 거야 이 ..언젠가는,큰맘 먹고 마카롱을 샀는데 까먹어서 곰팡이가 피었어. 아깝게도 버리게 되었지,넌 요즘 잘 지내고 있는지 모르겠네. 잘 지낼 거라 믿어,넌 요즘 잘 지내고 있는지 모르겠네. 잘 지낼 거라 믿어
29,(멍 때리는 중),...비 오네.. 계속..,자고 있을 때 벌레 나올까 봐 두려워,하늘에서 별을 본 적 있어? 사실 달도 안 보여,언젠가는 어디론가 여행을 떠나고 말 거야,언젠가는 어디론가 여행을 떠나고 말 거야
30,지금 몇 시지,..심심해.. 너무나,..음 ..흐음,어제저녁에 라면을 이불 위에 엎었어. 정말 슬펐어,저번에 신문을 보고 세상에 대해 궁금해지기 시작했어,저번에 신문을 보고 세상에 대해 궁금해지기 시작했어
31,..뭐하지,..추워 덮을 거 없나..,..풉 ..나 안 웃었어,내가 곰팡이인지 곰팡이가 나인지,혹시 내 화장실 본 적 있어? 안 보는 게 좋을걸,혹시 내 화장실 본 적 있어? 안 보는 게 좋을걸
32,..눕고 싶어,..목이 아파,..저게 뭘까,최근에 나비를 본 거 같은데. 진짜였으면 좋겠어,건강하게 잘 있는 건 정말 좋은 거야,건강하게 잘 있는 건 정말 좋은 거야
33,(손가락을 만지는 중),먹고 싶은 거 평생 못 먹겠지,핫케이크가 먹고 싶다,선크림을 선물 받았는데 아직 필요 없을 거 같아,사람들과 소통하는 건 정말 중요한 거 같아. 지금 나도 너와 대화를 하고 있지만,사람들과 소통하는 건 정말 중요한 거 같아. 지금 나도 너와 대화를 하고 있지만
34,(바닥을 보는 중),"학창 시절이 기억이 안 나는데, 별로 중요하지 않은 거 같아",커다란 솜사탕을 먹고 싶다,가끔 창문 밖에 고양이가 쳐다보다 가. 난 줄 게 없는데,너랑 나중에 놀러 가고 싶다,너랑 나중에 놀러 가고 싶다
35,(천장을 보는 중),(창밖을 보는 중),시원한 사이다를 마시고 싶다,가끔 창문 밖에 참새가 앉았다 가. 잠시 비를 피하러 온 거 같아,너랑 나중에 밥 먹으러 가고 싶어,너랑 나중에 밥 먹으러 가고 싶어
36,(창밖을 보는 중),과일 먹고 싶다,간지러워서 봤는데 벌레가 있었어 으..,컵라면을 자주 먹으니까 살이 찌는 거 같아,최근에 나비를 봤어. 이쁘더라,최근에 나비를 봤어. 이쁘더라
37,..씻기 귀찮아,감기 걸릴 거 같아,모자는 나한테 안 어울리는 것 같아,대중목욕탕을 안 간지 너무 오래된 거 같아. 기억이 안 나네,오늘 잠깐 햇빛을 본 것도 같은데..,오늘 잠깐 햇빛을 본 것도 같은데..
38,휴지가 떨어졌어,(손가락으로 원을 그리고 있다),재밌는 일이 있으면 좋겠어,예전에 비가 많이 와서 여기가 온통 물에 잠긴 적이 있어. 꽤 고생 좀 했지,어릴 때 짝사랑했던 그 아이가 떠오르는군,어릴 때 짝사랑했던 그 아이가 떠오르는구나
39,(벌레를 보는 중),(쳐다보니 눈을 돌린다),밤에 잠을 잘 자고 싶어,(콧노래를 부르고 있다. 눈이 마주치자 멈칫했다. 볼이 붉어진 거 같다.),이제 건강을 위해 채소도 먹어야 해...싫지만,이제 건강을 위해 채소도 먹어야 해...싫지만
40,한 것도 없는데 지치네..,..거미줄이,졸린거 같은데.. 흐음...,..음 좋은 날이야. 비는 내리지만,Z창 밖에 새가 날아간 거 같은데 봤어?|봤어|비가 그만큼 적게 온다는 뜻일까. 잘 모르겠네|못 봤어|잘못 본 걸까. 정말이면 비가 조금 올지도 모른다고 생각해,Z라면에 떡을 넣어서 먹어본 적 있니?|있어|나도 가끔 넣어서 먹어. 떡이 퍼지면 더 맛있는 거 같아| 없어|대신에 다른 것을 넣거나 그냥 먹겠지. 파나 달걀도 좋고
41,..할 말이 없어,(꼬르륵)...,따뜻한 차 한잔 마시고 싶다,(눈이 마주치자 살짝 미소가 보였지만 이내 원래 표정으로 돌아왔다),Z아는 계곡이 있는데 정말 깨끗하고 좋아. 언제 한번 비가 그치면 같이 가보지 않을래?|갈래 |가서 맛있는 것도 먹고 물고기도 잡고 싶어. 정말 재미있을 거야|안 갈래|계곡을 좋아하지 않는구나. 방에 있는 것도 좋지,누워서 빗소리를 감상하면 마음이 편해지는 거 같아. 조용히 듣고 있으면 잠이 오는 거 같기도 하고
42,(거미줄을 보는 중),감기인가..,어제 다리에 모기를 물렸어. 너무 간지러워,명상하기 좋은 날이야. 너도 조용히 눈을 감고 명상해봐,Z예전에도 같은 질문을 했었지 나랑 대화하는 게 좋아?|좋아|(고개를 돌렸다.그리고 나를 쳐다봤다.)나도 좋아 ....용기내서 말하는 건 어려운 일이구나 |싫어|나의 답답한 면에 싫어할 수 있지 이해해. 그래도 종종 찾아와 주는 건 아주 싫다는 것은 아닐 거라 생각해,번개를 본 적이 있어? 듣기만 하지 직접 본 적은 없는 거 같아
43,..할 것이 없어,빵을 먹은 지 얼마나 되었을까,책을 읽을 때 소리를 내서 읽으면 더 집중이 잘 되는 거 같아 더 재밌는 거 같기도 하고 ,Z여행을 가본 적 있니|있어|이곳저곳 구경하고 먹을 것도 먹고 기념품도 사고 ..즐거운 시간을 보냈구나| 없어|지금은 이렇지만 언젠간 여행을 갈 수 있을 거라고 믿어,Z언젠가 인생에 밝은 날이 올 거라고 믿어?|응|맞아 나도 믿어. 비가 개는 날이 오는 것처럼 그런 날이 올 거라고 믿어 |반드시|반드시..  그래 반드시 기다리고 인내하고 노력하면 언젠가 반드시,(눈이 마주치자 눈싸움이 시작되었다...졌다)
44,(긁적긁적),방이 좁아진 것 같은데 ..흐음,산에 올라가서 있는 힘껏 소리를 질러보고 싶어,Z따뜻한 음식이 좋아 아니면 차가운 음식이 좋아?|따뜻한 것|따뜻한 음식을 먹으면 몸 전체에 온기가 퍼져서 좋아. 마시멜로를 넣은 따뜻한 코코아 마시고 싶다 |차가운 것 |냉기로 열을 식힐 수 있지. 더운 여름날 차가운 팥빙수를 먹어보고 싶어,Z명상하기 좋은 날인 거 같아 안 그래?|맞아 |그런 의미에서 같이할래? 뭐 난 이미 하고 있지만 |아니|뭐 네가 좋아하는 날이 오겠지. 비록 지금이 아니라서 그렇지,피곤할 때 억지로 몸을 움직이면 더 안 좋아. 일이 많은 건 알지만 쉴 때 쉬어야 해
45,(먼지를 터는 중),난 라면이 좋아 정말이야,(눈이 마주치자 살짝 미소가 보였지만 이내 원래 표정으로 돌아왔다),Z혼자 있는 게 좋아 아니면 함께 있는 게 좋아?|혼자 |나도 그렇게 생각했는데 요즘은 좀 바뀐 거 같아|함께 |함께 있으면 덜 무서울 거라고 생각해,Z라면에 떡을 넣어서 먹어본 적 있니?|있어|나도 가끔 넣어서 먹어. 떡이 퍼지면 더 맛있는 거 같아 |없어|대신에 다른 것을 넣거나 그냥 먹겠지. 파나 달걀도 좋고,거울에 비친 내 모습을 보면 좀 초라한 느낌이 들었는데 운동하고 많이 좋아진 거 같아
46,..옷이 흠..,시간은 계속 흘러가는구나,(바닥에 손가락으로 뭔가를 그리고 있는 거 같다),Z가족들 다 잘 계시니?|응 |건강하게 잘 있는 게 정말 좋은 거야|아니|...괜한이야기를 꺼낸 거 같구나 미안,누워서 빗소리를 감상하면 마음이 편해지는 거 같아. 조용히 듣고 있으면 잠이 오는 거 같기도 하고,Z명상하기 좋은 날인 거 같아 안 그래?|맞아|그런 의미에서 같이할래? 뭐 난 이미 하고 있지만| 아니|뭐 네가 좋아하는 날이 오겠지. 비록 지금이 아니라서 그렇지
47,(생각 중),배터리는 충분하니?,어릴 때 종이접기 책보고 종이학을 접은 기억이 나네. 100마리 접으려다가 10마리 접고 포기했지만,혹시 배고프면 말해. 물 정도는 줄 수 있어,번개를 본 적이 있어? 듣기만 하지 직접 본 적은 없는 거 같아,밤에 나간 적이 있는데 가로등 빛이 희미했어. 빨리 수리했으면 좋겠어
48,..앗 차가워,이건 의미 없는 시간이야,밤이 되면 빗소리가 더 강하게 들려와,카페에 가서 커피를 마시고 싶어. 여유 있게 언젠가는,(눈이 마주치자 눈싸움이 시작되었다...졌다),누군가에게 소중한 사람이 된다는 것은 어려운 일이야
49,바닥이 축축해..,신발이 하나밖에 없어,요즘 내리는 비는 오염된 빗물이겠지?,건강을 위해 채소도 먹어야 하지만 ...으 싫어,피곤할 때 억지로 몸을 움직이면 더 안 좋아. 일이 많은 건 알지만 쉴 때 쉬어야 해,(눈이 마주치자 피하지 않고 다가오는 느낌이 든다. 기분 탓이지만)
50,..시간이,밥은 항상 사 먹어,명상하기 좋은 날인 거 같아,사람이 밥만 먹고 살 수는 없잖아. 다른 것도 먹어보고 싶어,거울에 비친 내 모습을 보면 좀 초라한 느낌이 들었는데 운동하고 많이 좋아진 거 같아,표현이 서툴지만 마음을 열고 솔직하게 털어놓으면 서로가 좋다는 것을 알았어
51,공란,공란,쓰레기를 버리러 가기 귀찮아. 오늘 버리는 날인데,어릴 때 짝사랑했던 그 아이가 떠오르는구나,밤에 나간 적이 있는데 가로등 빛이 희미했어. 빨리 수리했으면 좋겠어,예전에는 아무것도 하기 싫었어. 가만히 있으며 의미 없게 살아가고 싶었어. 요즘은 뭔가를 시도하고 싶어
52,공란,공란,밤에 잠이 잘 오지를 않아,(잠깐 졸다가 화들짝 깬 모습을 보았다. 웃은 것을 들킨 거 같다)...웃지마,누군가에게 소중한 사람이 된다는 것은 어려운 일이야,(최근 자주 하던 기침이 멎은 거 같다.)
53,공란,공란,(콜록콜록) 잠시 먼지가 목에 들어갔어,거울에 비친 내 모습을 보면 좀 초라한 느낌이야,(눈이 마주치자 피하지 않고 다가오는 느낌이 든다. 기분 탓이지만),Z언젠가 인생에 밝은 날이 올 거라고 믿어?| 응|맞아 나도 믿어. 비가 개는 날이 오는 것처럼 그런 날이 올 거라고 믿어|반드시|반드시..  그래 반드시 기다리고 인내하고 노력하면 언젠가 반드시
54,공란,공란,TV 위에 먼지가 가득 쌓였어,어릴 때 은하수를 봤는데 정말 아름다웠어. 언젠가 다시 볼 수 있을까,표현이 서툴지만 마음을 열고 솔직하게 털어놓으면 서로가 좋다는 것을 알았어,잘 때 비가 조금 왔는지 풀벌레 소리가 들렸어. 오랜만에 들었지
55,공란,공란,거미가 날 물지 않았으면 좋겠어,창밖에 아이들이 알록달록한 우산을 들고 지나갔어. 아마 소풍을 가나 봐,예전에는 아무것도 하기 싫었어. 가만히 있으며 의미 없게 살아가고 싶었어. 요즘은 뭔가를 시도하고 싶어,어릴 때 작고 하얀 강아지를 본 적이 있어. 꼬리를 흔들며 달려오는데 그때는 커 보였는지 무서웠어
56,공란,공란,빗소리에 집중하고 있으면 불안감이 조금 사라져,추울 때 핫팩을 적당히 쓰면 좋아,(최근 자주하던 기침이 멎은 거 같다.),"(슬슬 나가볼까 생각했지만, 눈을 마주친 너의 모습이 즐거워 보여 조금만 더 있기로 했다.)"
57,공란,공란,가끔 천장에서 부스럭 소리가 나,집에 흔들의자라도 있으면 심심하지 않을 거 같아,잘 때 비가 조금 왔는지 풀벌레 소리가 들렸어. 오랜만에 들었지,요즘 대화하는 게 즐거워. 너도 나랑 같은 생각이었으면 좋겠어
58,공란,공란,밤에 자고 있는데 갑자기 물방울을 맞아서 놀랐어. 비가 천장에서 샜었나 봐,겨울에 아이스크림을 먹었더니 감기에 걸릴 뻔했어. 겨울에는 먹지 말아야겠어,어릴 때 작고 하얀 강아지를 본 적이 있어. 꼬리를 흔들며 달려오는데 그때는 커 보였는지 무서웠어,늦었다고 생각할 때가 늦었다는데 조금 늦으면 어때. 시작점이 다른 거지 결과는 어떤 게 될지 모르는 법이야
59,공란,공란,벽에서 쿵 소리가 났어. 무너지는 건 아닐까 걱정이야,집에 들어서자마자 온기가 있다는 것은 정말 좋은 거야,"(슬슬 나가볼까 생각했지만, 눈을 마주친 너의 모습이 즐거워 보여 조금만 더 있기로 했다.)",귀찮아서 자주 안 씻었는데 요즘 정말 자주 씻어. 몸이 개운하면 머리도 개운하거든
60,공란,공란,자전거를 타보고 싶어. 항상 넘어지지만,(최근 자주 하던 기침이 줄어든 거 같다.),요즘 대화하는 게 즐거워. 너도 나랑 같은 생각이었으면 좋겠어,(조용히 창문을 바라보고 있다. 같이 바라보았다.)비가 정말 많이 와
61,공란,공란,옆에 트럭이 지나갔었는데 방이 흔들려서 지진 난 줄 알았어,(자신이 꾸며둔 창문을 쳐다보며 작게 미소 짓고 있다. 내심 뿌듯해하는 거 같다.),늦었다고 생각할 때가 늦었다는데 조금 늦으면 어때. 시작점이 다른 거지 결과는 어떤 게 될지 모르는 법이야,Z예전에도 같은 질문을 했었지 나랑 대화하는 게 좋아?|좋아|(고개를 돌렸다.그리고 나를 쳐다봤다.)나도 좋아 ....용기내서 말하는 건 어려운 일이구나| 싫어|나의 답답한 면에 싫어할 수 있지 이해해. 그래도 종종 찾아와 주는 건 아주 싫다는 것은 아닐 거라 생각해
62,공란,공란,"새를 기르고 싶지만, 새장에 가둬두고 싶지는 않아. 나도 갇혀있는 건 싫은걸",너가 여기 온 지 얼마나 되었지 ..짧은 것 같으면서도 긴 것 같아,귀찮아서 자주 안 씻었는데 요즘 정말 자주 씻어. 몸이 개운하면 머리도 개운하거든,
63,공란,공란,여기는 먼지랑 비 냄새로 가득해,솔직히 하고 싶은 게 너무많아 ...나도알아 모든 것을 만족할 수 있는 삶이란 없다는 것을..,(조용히 창문을 바라보고 있다. 같이 바라보았다.)비가 정말 많이 와,사우나에 가면 삶은 달걀과 식혜를 마셔보고 싶어
64,공란,공란,구석에 버섯이 자란 적이 있었어. 먹을 수 있는 버섯은 아니겠지,귀찮아서 자주 안 씻었는데 ..그러지 말아야겠지,지금 배고프지만 자고 일어나면 좀 괜찮아져,최근 글씨 연습을 하고 있어. 조금 잘 써지고 있는 거 같아
65,공란,공란,눈에 먼지가 들어간 것 같아,가끔 배고픔을 잊기 위해 상상을 해. 이미 맛있는 것을 먹고 배부르다는 것을,사우나에 가면 삶은 달걀과 식혜를 마셔보고 싶어,편의점 가면 항상 라면만 사고 나왔는데 주변을 둘러보니까 여러 가지를 팔더라. 시야가 좁았던 거 같아
66,공란,공란,좋아하던 옷에 구멍이 나 버렸어. 어쩔 수 없지,언제 한번 국내에 있는 유명한 명소에 다녀오고 싶어,최근 글씨 연습을 하고 있어. 조금 잘 써지고 있는 거 같아,길 가는데 인형 뽑기가 있더라고 하고 싶었지만 돈을 절약하기 위해 참았어. 언젠가 꼭 뽑을 거야
67,공란,공란,항상 필요한 물건은 찾으면 안 보이더라,나중에 여행을 가서 기념품을 산다면 ...너한테 줄게,편의점 가면 항상 라면만 사고 나왔는데 주변을 둘러보니까 여러 가지를 팔더라. 시야가 좁았던 거 같아,창문이 볼만해져서 기분이 좋아. 맨 처음 만났을 때 깨진 창문 기억하니 ..생각하면 부끄러워
68,공란,공란,어릴 때 해가 밝게 비추고 있는데 비가 많이 왔던 게 기억나. 너무 신기했지,최근 글씨 연습을 하고 있어. 너무 악필이거든,길 가는데 인형 뽑기가 있더라고 하고 싶었지만 돈을 절약하기 위해 참았어. 언젠가 꼭 뽑을 거야,책을 읽고 많은 것을 상상할 때가 있어. 생각하는 건 좋은 거 같아
69,공란,공란,5살 때 문에 손가락을 찧은 적이 있어. 울었지만 아무도 도와주지 않았어,요즘에 라면을 자주 안 먹으려고 노력하고 있어,창문이 볼만해져서 기분이 좋아. 맨 처음 만났을 때 깨진 창문 기억하니 ..생각하면 부끄러워,커피나 코코아를 마시고 싶은 기분이야
70,공란,공란,새 책을 읽을 수 있어서 좋아진 것 같아,휴지를 어디에다 뒀는지 기억이 안 나네 ..흠,책을 읽고 많은 것을 상상할 때가 있어. 생각하는 건 좋은 거 같아,아무리 배고파도 밤늦게 먹는 건 몸에 좋지 않아. 잠을 자서 잊는 게 좋지
71,공란,공란,햇빛에 옷을 말릴 수 있으면 좋겠어,이제 벌레를 봐도 아무렇지 않아. 적응이 되었나 봐,커피나 코코아를 마시고 싶은 기분이야,Z아는 계곡이 있는데 정말 깨끗하고 좋아. 언제 한번 비가 그치면 같이 가보지 않을래?|갈래|가서 맛있는 것도 먹고 물고기도 잡고 싶어. 정말 재미있을 거야|안 갈래|계곡을 좋아하지 않는구나. 방에 있는 것도 좋지
72,공란,공란,가끔 천장에서 부스럭 소리가 나,손톱을 다듬은 지 오래된 거 같아. 좀 다듬어야겠어,아무리 배고파도 밤늦게 먹는 건 몸에 좋지 않아. 잠을 자서 잊는 게 좋지,따뜻한 물로 씻고 나면 기분이 한결 좋아지는 거 같아
73,공란,공란,작지만 그래도 방이 있어서 좋아,최근에 안부 전화를 받았어. 잘 지낸다고 이야기했지,따뜻한 물로 씻고 나면 기분이 한결 좋아지는 거 같아,오랜만에 멀리 나갔는데 대중교통이 좋아진 거 같아
74,공란,공란,갓 구운 빵을 먹고 싶어. 안 먹은 지 오래된 거 같아,커다랗고 푹신한 인형을 갖고 싶어. 잘 때 껴안을 수 있겠지,오랜만에 멀리 나갔는데 대중교통이 좋아진 거 같아,핸드폰을 너무 오래 보면 눈 건강에 안 좋아. 잠시 쉬는 것도 좋지
75,공란,공란,어릴 때 산타가 있다고 믿었는데 지금은 ...음,어릴 때는 눈이 무릎만큼 쌓이면 좋아했어. 혼자 놀아도 즐거웠지,노래를 부르고 싶은 기분이야. 빗소리에 묻혀서 크게 불러도 될 거 같아,너무 걸어 다니면 발바닥이 아파. 가끔 살이 까질 때도 있어서 더 아플 때도 있지
